"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"lm-medical-note","lm-medical-note.patientId","lm-medical-note.patientId","","","",0,1,"","","","string {[]} {[]}
","ID patient partagé","Identifiant partagé du patient. Pattern : {OrgId}.patient.{uniqueId}","Regexp : ^([a-zA-Z0-9_-]+\.){3,8}patient(\.[a-zA-Z0-9_-]+){1,2}$","","","","","","","","",,,,,"",,,,"lm-medical-note.patientId",0,1,"",""
"lm-medical-note","lm-medical-note.operator","lm-medical-note.operator","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/fhir/hubsante/StructureDefinition/lm-operator {[]} {[]}
","Professionnel de santé réalisant l'observation","Opérateur ayant effectué l'observation médicale.","","","","","","","","","",,,,,"",,,,"lm-medical-note.operator",1,1,"",""
"lm-medical-note","lm-medical-note.medicalNoteId","lm-medical-note.medicalNoteId","","","",1,1,"","","","string {[]} {[]}
","ID Observation","Identifiant unique de l'observation médicale, généré par le système partenaire.","Regexp : ^([a-zA-Z0-9_-]+\.){3,8}medicalNote(\.[a-zA-Z0-9_-]+){1,2}$","","","","","","","","",,,,,"",,,,"lm-medical-note.medicalNoteId",1,1,"",""
"lm-medical-note","lm-medical-note.creation","lm-medical-note.creation","","","",0,1,"","","","dateTime {[]} {[]}
","Date/heure de l'observation","Date et heure de création de l'observation médicale (avec fuseau horaire, sans indicateur Z).","","","","","","","","","",,,,,"",,,,"lm-medical-note.creation",0,1,"",""
"lm-medical-note","lm-medical-note.freetext","lm-medical-note.freetext","","","",1,1,"","","","string {[]} {[]}
","Observations et commentaires","Champ libre pour les informations médicales et commentaires.","","","","","","","","","",,,,,"",,,,"lm-medical-note.freetext",1,1,"",""
"lm-operator","lm-operator","lm-operator","","","",0,*,"","","","null {[]} {[]}
","Professionnel de santé réalisant l'observation","Opérateur ayant effectué une observation médicale dans le contexte de la régulation médicale (RS-EDA).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-operator","lm-operator.label","lm-operator.label","","","",0,1,"","","","string {[]} {[]}
","Label","Nom/prénom ou identifiant de l'opérateur, selon les préférences de chaque partenaire.","","","","","","","","","",,,,,"",,,,"lm-operator.label",0,1,"",""
"lm-operator","lm-operator.role","lm-operator.role","","","",1,1,"","","","code {[]} {[]}
","Rôle","Rôle de l'opérateur au sein de l'entité émettrice du message.","","","","","","","","","",,"required","","https://interop.esante.gouv.fr/ig/fhir/hubsante/ValueSet/vs-operator-role|0.1.0","",,,,"lm-operator.role",1,1,"",""
"lm-other-diagnosis","lm-other-diagnosis","lm-other-diagnosis","","","",0,*,"","","","null {[]} {[]}
","Hypothèses de régulation médicale secondaires","Hypothèse diagnostique secondaire issue de la régulation médicale.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-other-diagnosis","lm-other-diagnosis.code","lm-other-diagnosis.code","","","",1,1,"","","","string {[]} {[]}
","Code","Code de la nomenclature associée (CIM-10).","Regexp : ^[A-Z]\d{2}(\.[\d\+\-]{1,3})?$","","","","","","","","",,,,,"",,,,"lm-other-diagnosis.code",1,1,"",""
"lm-other-diagnosis","lm-other-diagnosis.label","lm-other-diagnosis.label","","","",1,1,"","","","string {[]} {[]}
","Libellé","Libellé de la nomenclature associée. Obligatoire pour permettre l'affichage même si le code n'est pas reconnu.","","","","","","","","","",,,,,"",,,,"lm-other-diagnosis.label",1,1,"",""
"lm-patient-detail","lm-patient-detail","lm-patient-detail","","","",0,*,"","","","null {[]} {[]}
","Informations patient","Informations cliniques et physiologiques du patient.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"lm-patient-detail","lm-patient-detail.weight","lm-patient-detail.weight","","","",0,1,"","","","decimal {[]} {[]}
","Poids (kg)","Poids du patient en kilogrammes.","","","","","","","","","",,,,,"",,,,"lm-patient-detail.weight",0,1,"",""
